ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
BRBva1996,Barbados,BRB,Latin America & Caribbean,High income,1996,va,4,1.2326789,0.24508,0.8307477,1.6346101,78.4241883,4.28951,71.38939189999999,85.4589847,..,..,..,..,..,..,..,..,..,..,..,..,0.9466667,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,0.6539332999999999,..,..,..,1
BRNva1996,Brunei Darussalam,BRN,East Asia & Pacific,High income,1996,va,4,-0.9373843,0.2600403,-1.3638504,-0.5109182,40.442681,4.5513525999999995,32.978462799999996,47.9068992,..,..,..,..,..,..,..,..,..,..,..,..,0.1977778,..,..,..,..,..,..,0.3,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,0.5625
BTNva1996,Bhutan,BTN,South Asia,Lower middle income,1996,va,4,-0.9023479999999999,0.24508,-1.3042791999999999,-0.5004168,41.0559035,4.28951,34.0211071,48.0906999,..,..,..,..,..,..,..,..,..,..,..,..,0.1166667,..,..,..,..,..,..,0.39999999999999997,..,..,..,..,..,..,..,..,..,..,0.4847667,..,..,..,0.5625
BWAva1996,Botswana,BWA,Sub-Saharan Africa,Upper middle income,1996,va,6,0.6145082,0.1939854,0.29637209999999997,0.9326443,67.6046624,3.3952278,62.036488799999994,73.172836,..,..,..,..,..,..,..,..,..,0.5,..,..,0.7888889,..,..,..,..,..,..,1,..,..,..,..,..,..,..,0.9166667,..,..,0.6383222,..,..,..,0.6875
CAFva1996,Central African Republic,CAF,Sub-Saharan Africa,Low income,1996,va,4,-1.0138840999999998,0.24508,-1.4158153,-0.6119529,39.1037441,4.28951,32.068947699999995,46.1385405,..,..,..,..,..,..,..,..,..,..,..,..,0.44999999999999996,..,..,..,..,..,..,0.39999999999999997,..,..,..,..,..,..,..,..,..,..,0.4368778,..,..,..,0.1875
CANva1996,Canada,CAN,North America,High income,1996,va,7,1.6107296999999998,0.19316619999999998,1.2939371,1.9275223,85.0410182,3.3808895999999997,79.4963592,90.58567719999999,..,..,..,..,..,..,..,..,..,1,..,..,0.9633333,..,..,..,..,..,..,1,..,..,..,..,..,..,..,1,..,..,0.7135556,..,0.576,..,1
CHEva1996,Switzerland,CHE,Europe & Central Asia,High income,1996,va,7,1.5685327,0.19316619999999998,1.2517401,1.8853252999999999,84.3024657,3.3808895999999997,78.7578067,89.8471247,..,..,..,..,..,..,..,..,..,1,..,..,0.97,..,..,..,..,..,..,1,..,..,..,..,..,..,..,1,..,..,0.7168333,..,0.4536,..,0.9375
CHLva1996,Chile,CHL,Latin America & Caribbean,High income,1996,va,8,0.9606429999999999,0.1930084,0.6441091999999999,1.2771768,73.6628829,3.3781277,68.1227536,79.2030123,..,..,..,..,..,..,..,..,..,0.875,..,..,0.7888889,..,..,..,..,..,..,0.8999999999999999,..,..,..,0.42,..,..,..,0.6666667,..,..,0.7273333,..,0.6028,..,0.6875
CHNva1996,China,CHN,East Asia & Pacific,Upper middle income,1996,va,7,-1.5975164,0.19316619999999998,-1.9143089999999998,-1.2807237999999999,28.888726199999997,3.3808895999999997,23.344067199999998,34.4333852,..,..,..,..,..,..,..,..,..,0.125,..,..,0.0566667,..,..,..,..,..,..,0.09999999999999999,..,..,..,..,..,..,..,0.3333333,..,..,0.3235667,..,0.6139,..,0.375
CIVva1996,Côte d’Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1996,va,6,-0.9406709999999999,0.1939854,-1.2588070999999998,-0.6225349,40.3851556,3.3952278,34.816981999999996,45.9533292,..,..,..,..,..,..,..,..,..,0.25,..,..,0.2533333,..,..,..,..,..,..,0.3,..,..,..,..,..,..,..,0.5833332999999999,..,..,0.4482444,..,..,..,0.375
