ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
CHLcc1996,Chile,CHL,Latin America & Caribbean,High income,1996,cc,6,1.5906957,0.1996623,1.2632495,1.9181419,80.0529494,4.0414717,73.4249359,86.68096299999999,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,0.7849999999999999,..,..,..,..,..,..,..,..,..,..,..,..,0.6666667,..,..,0.939,..,0.6810999999999999,..,0.875
CHNcc1996,China,CHN,East Asia & Pacific,Upper middle income,1996,cc,6,-0.3307815,0.1996623,-0.6582277,-0.0033353,41.1593023,4.0414717,34.5312887,47.787315899999996,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,0.48333329999999997,..,..,..,..,..,..,..,..,..,..,..,..,0.3333333,..,..,0.424,..,0.3186,..,0.375
CIVcc1996,Côte d’Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1996,cc,4,0.0688334,0.2316749,-0.3111134,0.44878019999999996,49.2481211,4.6894551,41.5574148,56.938827399999994,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.381,..,..,..,0.375
CMRcc1996,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1996,cc,4,-1.1922875,0.2316749,-1.5722342999999999,-0.8123406999999999,23.721098899999998,4.689455,16.0303926,31.4118051,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.079,..,..,..,0.125
CODcc1996,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1996,cc,3,-1.8280343,0.2955622,-2.3127562999999998,-1.3433123,10.852608,5.9826324,1.0410909,20.664125199999997,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0.086,..,..,..,0.125
COGcc1996,"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,1996,cc,3,-0.7452266,0.2955622,-1.2299486,-0.2605046,32.7702975,5.9826324,22.9587804,42.5818146,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.361,..,..,..,0.125
COLcc1996,Colombia,COL,Latin America & Caribbean,Upper middle income,1996,cc,6,-0.5147524,0.1996623,-0.8421985999999999,-0.18730619999999998,37.435449,4.0414717,30.8074354,44.0634626,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,0.3233333,..,..,..,..,..,..,..,..,..,..,..,..,0.3333333,..,..,0.565,..,0.24439999999999998,..,0.25
COMcc1996,Comoros,COM,Sub-Saharan Africa,Lower middle income,1996,cc,2,-0.9078179,0.3430487,-1.4704177999999999,-0.34521799999999997,29.4792001,6.9438325,18.0913148,40.8670854,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.301,..,..,..,0.25
CPVcc1996,Cabo Verde,CPV,Sub-Saharan Africa,Upper middle income,1996,cc,1,0.8518842,0.4936907,0.0422315,1.6615369,65.0982709,9.9930568,48.709657799999995,81.48688399999999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.767,..,..,..,..
CRIcc1996,Costa Rica,CRI,Latin America & Caribbean,High income,1996,cc,5,0.9596452,0.21722799999999998,0.6033913,1.3158991,67.2795189,4.3970278,60.0683933,74.4906446,..,..,..,..,..,..,..,..,..,0.625,..,..,..,..,0.4516667,..,..,..,..,..,..,..,..,..,..,..,..,0.8333332999999999,..,..,0.8009999999999999,..,..,..,0.625
