ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
DNKge1996,Denmark,DNK,Europe & Central Asia,High income,1996,ge,5,1.7792325,0.2527495,1.3647232999999999,2.1937417,85.9359109,4.9144666,77.8761857,93.9956361,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.6908333,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.651,..,0.875
DOMge1996,Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1996,ge,3,-0.3029637,0.30123469999999997,-0.7969885999999999,0.1910612,45.4496463,5.8572134,35.8438162,55.055476299999995,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,0.5
DZAge1996,Algeria,DZA,Middle East & North Africa,Upper middle income,1996,ge,3,-0.7486581999999999,0.30123469999999997,-1.2426831,-0.2546333,36.7835535,5.8572134,27.177723399999998,46.3893835,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,0.25
ECUge1996,Ecuador,ECU,Latin America & Caribbean,Upper middle income,1996,ge,4,-0.8312202,0.2998489,-1.3229724,-0.339468,35.178216299999995,5.830267999999999,25.6165767,44.739855899999995,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,0.35,..,..,..,0.5,..,..,..,..,..,..,0.375
EGYge1996,"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1996,ge,4,0.0724351,0.2728086,-0.374971,0.5198412,52.748908099999994,5.3044958,44.0495349,61.4482812,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,0.7125,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,0.375
ERIge1996,Eritrea,ERI,Sub-Saharan Africa,Low income,1996,ge,1,-1.3060162,0.44396919999999995,-2.0341256999999997,-0.5779067,25.9462734,8.6325462,11.7888977,40.1036491,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25
ESPge1996,Spain,ESP,Europe & Central Asia,High income,1996,ge,5,1.3661955,0.2527495,0.9516863,1.7807047,77.9048112,4.9144666,69.845086,85.9645364,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.5441667,..,..,..,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,0.49316669999999996,..,0.875
ESTge1996,Estonia,EST,Europe & Central Asia,High income,1996,ge,2,0.37681139999999996,0.3465764,-0.1915739,0.9451967,58.6672069,6.7388385,47.6155118,69.7189021,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.625
ETHge1996,Ethiopia,ETH,Sub-Saharan Africa,,1996,ge,3,-1.3490638,0.30123469999999997,-1.8430887,-0.8550388999999999,25.109254999999997,5.8572134,15.503424899999999,34.715085,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,0.25
FINge1996,Finland,FIN,Europe & Central Asia,High income,1996,ge,5,1.6663302999999998,0.2527495,1.2518211,2.0808394999999997,83.74063819999999,4.9144666,75.6809131,91.8003634,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.7266667,..,..,..,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,0.5968333,..,0.875
FJIge1996,Fiji,FJI,East Asia & Pacific,Upper middle income,1996,ge,1,0.2429062,0.44396919999999995,-0.4852033,0.9710156999999999,56.063551499999996,8.6325462,41.9061758,70.22092719999999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.625
FRAge1996,France,FRA,Europe & Central Asia,High income,1996,ge,5,1.5259154,0.2527495,1.1114062,1.9404245999999998,81.01040809999999,4.9144666,72.95068289999999,89.0701333,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.7925,..,..,..,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,0.5550999999999999,..,0.75
GABge1996,Gabon,GAB,Sub-Saharan Africa,Upper middle income,1996,ge,3,-0.3326513,0.30123469999999997,-0.8266762,0.1613736,44.8724,5.8572134,35.2665699,54.478229999999996,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,..,..,0.5
GBRge1996,United Kingdom,GBR,Europe & Central Asia,High income,1996,ge,5,1.6594734999999998,0.2527495,1.2449643,2.0739826999999997,83.6073145,4.9144666,75.5475893,91.66703969999999,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.49,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.5789333,..,1
GEOge1996,Georgia,GEO,Europe & Central Asia,Upper middle income,1996,ge,1,-1.3060162,0.44396919999999995,-2.0341256999999997,-0.5779067,25.9462734,8.6325462,11.7888977,40.1036491,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25
GHAge1996,Ghana,GHA,Sub-Saharan Africa,Lower middle income,1996,ge,3,-0.0324486,0.30123469999999997,-0.5264734999999999,0.4615763,50.7095473,5.8572134,41.1037172,60.315377299999994,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,..,..,0.5
GINge1996,Guinea,GIN,Sub-Saharan Africa,Lower middle income,1996,ge,2,-1.307264,0.3587892,-1.8956783,-0.7188496999999999,25.9220111,6.9763044999999995,14.4808717,37.3631506,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,0.25
GMBge1996,"Gambia, The",GMB,Sub-Saharan Africa,Low income,1996,ge,2,-0.5863082,0.3587892,-1.1747225,0.0021061,39.9402901,6.9763044999999995,28.499150699999998,51.3814296,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,0.375
GNBge1996,Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,1996,ge,2,-1.307264,0.3587892,-1.8956783,-0.7188496999999999,25.9220111,6.9763044999999995,14.4808717,37.3631506,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,0.25
GNQge1996,Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,1996,ge,2,-1.3618337999999999,0.3465764,-1.9302191,-0.7934485,24.8609548,6.7388385,13.8092597,35.91265,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25
