DataSourceCode,Organization,DataSource,indicator,econ_code,econ_name,region,income_class,production_year,wgi_dimension,value,minimum,maximum,orientation
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,MDG,Madagascar,Sub-Saharan Africa,Low income,2005,rl,0.773,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,MDG,Madagascar,Sub-Saharan Africa,Low income,2005,rl,0.5763358778625954,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,MDG,Madagascar,Sub-Saharan Africa,Low income,2005,rl,0.481,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,MLI,Mali,Sub-Saharan Africa,Low income,2005,rl,0.916,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,MLI,Mali,Sub-Saharan Africa,Low income,2005,rl,0.995,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,MLI,Mali,Sub-Saharan Africa,Low income,2005,rl,0.884,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,MLI,Mali,Sub-Saharan Africa,Low income,2005,rl,0.7661016949152543,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,MLI,Mali,Sub-Saharan Africa,Low income,2005,rl,0.58,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,MOZ,Mozambique,Sub-Saharan Africa,Low income,2005,rl,0.888,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,MOZ,Mozambique,Sub-Saharan Africa,Low income,2005,rl,0.955,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,MOZ,Mozambique,Sub-Saharan Africa,Low income,2005,rl,0.823,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,MOZ,Mozambique,Sub-Saharan Africa,Low income,2005,rl,0.7595048629531388,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,MOZ,Mozambique,Sub-Saharan Africa,Low income,2005,rl,0.816,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,MWI,Malawi,Sub-Saharan Africa,Low income,2005,rl,0.926,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,MWI,Malawi,Sub-Saharan Africa,Low income,2005,rl,0.988,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,MWI,Malawi,Sub-Saharan Africa,Low income,2005,rl,0.897,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,MWI,Malawi,Sub-Saharan Africa,Low income,2005,rl,0.8075278015397775,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,MWI,Malawi,Sub-Saharan Africa,Low income,2005,rl,0.8119999999999999,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,NAM,Namibia,Sub-Saharan Africa,Lower middle income,2005,rl,0.843,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,NAM,Namibia,Sub-Saharan Africa,Lower middle income,2005,rl,0.906,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,NAM,Namibia,Sub-Saharan Africa,Lower middle income,2005,rl,0.834,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,NAM,Namibia,Sub-Saharan Africa,Lower middle income,2005,rl,0.6486486486486487,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,NAM,Namibia,Sub-Saharan Africa,Lower middle income,2005,rl,0.6970000000000001,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2005,rl,0.901,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2005,rl,0.926,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2005,rl,0.839,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2005,rl,0.1576017130620985,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2005,rl,0.379,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,SEN,Senegal,Sub-Saharan Africa,Lower middle income,2005,rl,0.759,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,SEN,Senegal,Sub-Saharan Africa,Lower middle income,2005,rl,0.924,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,SEN,Senegal,Sub-Saharan Africa,Lower middle income,2005,rl,0.871,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,SEN,Senegal,Sub-Saharan Africa,Lower middle income,2005,rl,0.8622262773722628,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,SEN,Senegal,Sub-Saharan Africa,Lower middle income,2005,rl,0.8140000000000001,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,TZA,Tanzania,Sub-Saharan Africa,Lower middle income,2005,rl,0.918,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,TZA,Tanzania,Sub-Saharan Africa,Lower middle income,2005,rl,0.984,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,TZA,Tanzania,Sub-Saharan Africa,Lower middle income,2005,rl,0.7829999999999999,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,TZA,Tanzania,Sub-Saharan Africa,Lower middle income,2005,rl,0.8591549295774648,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,TZA,Tanzania,Sub-Saharan Africa,Lower middle income,2005,rl,0.8919999999999999,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,UGA,Uganda,Sub-Saharan Africa,Low income,2005,rl,0.854,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,UGA,Uganda,Sub-Saharan Africa,Low income,2005,rl,0.94,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,UGA,Uganda,Sub-Saharan Africa,Low income,2005,rl,0.8029999999999999,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,UGA,Uganda,Sub-Saharan Africa,Low income,2005,rl,0.6349873843566022,0,1,1
